es-ES;en-US;gl-ES
Licenciatura/Grao en ciencias políticas e da administración;Licenciatura/Grao en ciencias políticas e da administración;Licenciatura/Grao en ciencias políticas e da administración
Licenciatura/Grao en comunicación audiovisual;Licenciatura/Grao en comunicación audiovisual;Licenciatura/Grao en comunicación audiovisual
Licenciatura/Grao en economía;Licenciatura/Grao en economía;Licenciatura/Grao en economía
Licenciatura/Grao en farmacia;Licenciatura/Grao en farmacia;Licenciatura/Grao en farmacia
Licenciatura/Grao en filoloxía;Licenciatura/Grao en filoloxía;Licenciatura/Grao en filoloxía
Licenciatura/Grao en filosofía;Licenciatura/Grao en filosofía;Licenciatura/Grao en filosofía
Licenciatura/Grao en física;Licenciatura/Grao en física;Licenciatura/Grao en física
Licenciatura/Grao en historia da arte;Licenciatura/Grao en historia da arte;Licenciatura/Grao en historia da arte
Licenciatura/Grao en historia/Grao en xeografía e historia;Licenciatura/Grao en historia/Grao en xeografía e historia;Licenciatura/Grao en historia/Grao en xeografía e historia
Licenciatura/Grao en matemáticas;Licenciatura/Grao en matemáticas;Licenciatura/Grao en matemáticas
Licenciatura/Grao en pedagoxía;Licenciatura/Grao en pedagoxía;Licenciatura/Grao en pedagoxía
Licenciatura/Grao en psicoloxía;Licenciatura/Grao en psicoloxía;Licenciatura/Grao en psicoloxía
Licenciatura/Grao en publicidade e relacións públicas;Licenciatura/Grao en publicidade e relacións públicas;Licenciatura/Grao en publicidade e relacións públicas
Licenciatura/Grao en socioloxía;Licenciatura/Grao en socioloxía;Licenciatura/Grao en socioloxía
Licenciatura/Grao en tradución e interpretación;Licenciatura/Grao en tradución e interpretación;Licenciatura/Grao en tradución e interpretación
Licenciatura/Grao en xornalismo;Licenciatura/Grao en xornalismo;Licenciatura/Grao en xornalismo
Mestre, especialidade en educación infantil/Grao en educación infantil;Mestre, especialidade en educación infantil/Grao en educación infantil;Mestre, especialidade en educación infantil/Grao en educación infantil
Mestre, especialidade en educación primaria/Grao en educación primaria;Mestre, especialidade en educación primaria/Grao en educación primaria;Mestre, especialidade en educación primaria/Grao en educación primaria
Licenciatura en química/enxeñería química/Grao en enxeñería en química;Licenciatura en química/enxeñería química/Grao en enxeñería en química;Licenciatura en química/enxeñería química/Grao en enxeñería en química
Carnet de usuario de productos fitosanitarios basico;Carnet de usuario de productos fitosanitarios basico;Carnet de usuario de productos fitosanitarios basico
Carnet de usuario de productos fitosanitarios cualificado;Carnet de usuario de productos fitosanitarios cualificado;Carnet de usuario de productos fitosanitarios cualificado
Instalación térmica de edificios (ITE).;Instalación térmica de edificios (ITE).;Instalación térmica de edificios (ITE).
Instalador/a de instalaciones de climatización.;Instalador/a de instalaciones de climatización.;Instalador/a de instalaciones de climatización.
Instalador/a de instalaciones de calefacción y agua caliente sanitaria.;Instalador/a de instalaciones de calefacción y agua caliente sanitaria.;Instalador/a de instalaciones de calefacción y agua caliente sanitaria.
Operador Carretillas Elevadoras;Operador Carretillas Elevadoras;Operador Carretillas Elevadoras
Profesional que manipule equipos que contengan gases fluorados.;Profesional que manipule equipos que contengan gases fluorados.;Profesional que manipule equipos que contengan gases fluorados.
Operador/a de grúa torre.;Operador/a de grúa torre.;Operador/a de grúa torre.
Operador/a de grúa móvil autopropulsada (categorías A y B).;Operador/a de grúa móvil autopropulsada (categorías A y B).;Operador/a de grúa móvil autopropulsada (categorías A y B).
Electricista minero.;Electricista minero.;Electricista minero.
Vigilante de obras subterráneas y mineras de interior.;Vigilante de obras subterráneas y mineras de interior.;Vigilante de obras subterráneas y mineras de interior.
Operador de maquinaria minera móvil.;Operador de maquinaria minera móvil.;Operador de maquinaria minera móvil.
Conductor de maquinaria móvil (plataforma elevadora) en explotaciones mineras.;Conductor de maquinaria móvil (plataforma elevadora) en explotaciones mineras.;Conductor de maquinaria móvil (plataforma elevadora) en explotaciones mineras.
Maquinista y palista minero.;Maquinista y palista minero.;Maquinista y palista minero.
Cerficado de manipulador de alimentos;Cerficado de manipulador de alimentos;Cerficado de manipulador de alimentos
Control de alérgenos;Control de alérgenos;Control de alérgenos
Básico en Primeros Auxilios;Básico en Primeros Auxilios;Básico en Primeros Auxilios
Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de Operación;Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de Operación;Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de Operación
Curso de Especialización en Panadería y Bollería Artesanales;Curso de Especialización en Panadería y Bollería Artesanales;Curso de Especialización en Panadería y Bollería Artesanales
Curso de Especialización en Audiodescripción y Subtitulación;Curso de Especialización en Audiodescripción y Subtitulación;Curso de Especialización en Audiodescripción y Subtitulación
Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información;Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información;Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información
Curso de Especialización en Digitalización del Mantenimiento Industrial;Curso de Especialización en Digitalización del Mantenimiento Industrial;Curso de Especialización en Digitalización del Mantenimiento Industrial
Curso de Especialización en Fabricación Inteligente;Curso de Especialización en Fabricación Inteligente;Curso de Especialización en Fabricación Inteligente
Curso de Especialización en Cultivos Celulares;Curso de Especialización en Cultivos Celulares;Curso de Especialización en Cultivos Celulares
Título Profesional Básico en Acceso y Conservación en Instalaciones Deportivas;Título Profesional Básico en Acceso y Conservación en Instalaciones Deportivas;Título Profesional Básico en Acceso y Conservación en Instalaciones Deportivas
Título Profesional Básico en Informática de Oficina;Título Profesional Básico en Informática de Oficina;Título Profesional Básico en Informática de Oficina
Título Profesional Básico en Servicios Administrativos;Título Profesional Básico en Servicios Administrativos;Título Profesional Básico en Servicios Administrativos
Título Profesional Básico en Actividades Agropecuarias;Título Profesional Básico en Actividades Agropecuarias;Título Profesional Básico en Actividades Agropecuarias
Título Profesional Básico en Agro-jardinería y Composiciones Florales;Título Profesional Básico en Agro-jardinería y Composiciones Florales;Título Profesional Básico en Agro-jardinería y Composiciones Florales
Título Profesional Básico en Aprovechamientos Forestales;Título Profesional Básico en Aprovechamientos Forestales;Título Profesional Básico en Aprovechamientos Forestales
Título Profesional Básico en Artes Gráficas;Título Profesional Básico en Artes Gráficas;Título Profesional Básico en Artes Gráficas
Título Profesional Básico en Servicios Comerciales;Título Profesional Básico en Servicios Comerciales;Título Profesional Básico en Servicios Comerciales
Título Profesional Básico en Reforma y Mantenimiento de Edificios;Título Profesional Básico en Reforma y Mantenimiento de Edificios;Título Profesional Básico en Reforma y Mantenimiento de Edificios
Título Profesional Básico en Electricidad y Electrónica;Título Profesional Básico en Electricidad y Electrónica;Título Profesional Básico en Electricidad y Electrónica
