es-ES;en-US;gl-ES
MAPN0109 - ACTIVIDADES AUXILIARES Y DE APOYO AL BUQUE EN PUERTO;MAPN0109 - ACTIVIDADES AUXILIARES Y DE APOYO AL BUQUE EN PUERTO;MAPN0109 - ACTIVIDADES AUXILIARES Y DE APOYO AL BUQUE EN PUERTO
MAPN0110 - ACTIVIDADES EN PESCA CON ARTES DE ENMALLE Y MARISQUEO, Y EN TRANSPORTE MARÍTIMO;MAPN0110 - ACTIVIDADES EN PESCA CON ARTES DE ENMALLE Y MARISQUEO, Y EN TRANSPORTE MARÍTIMO;MAPN0110 - ACTIVIDADES EN PESCA CON ARTES DE ENMALLE Y MARISQUEO, Y EN TRANSPORTE MARÍTIMO
MAPN0112 - ACTIVIDADES DE EXTRACCIÓN Y RECOGIDA DE CRUSTÁCEOS ADHERIDOS A LAS ROCAS;MAPN0112 - ACTIVIDADES DE EXTRACCIÓN Y RECOGIDA DE CRUSTÁCEOS ADHERIDOS A LAS ROCAS;MAPN0112 - ACTIVIDADES DE EXTRACCIÓN Y RECOGIDA DE CRUSTÁCEOS ADHERIDOS A LAS ROCAS
MAPN0210 - ACTIVIDADES EN PESCA EN PALANGRE,ARRASTRE Y CERCO,Y EN TRANSPORTE MARÍTIMO;MAPN0210 - ACTIVIDADES EN PESCA EN PALANGRE,ARRASTRE Y CERCO,Y EN TRANSPORTE MARÍTIMO;MAPN0210 - ACTIVIDADES EN PESCA EN PALANGRE,ARRASTRE Y CERCO,Y EN TRANSPORTE MARÍTIMO
MAPN0310 - AMARRE DE PUERTO Y MONOBOYAS;MAPN0310 - AMARRE DE PUERTO Y MONOBOYAS;MAPN0310 - AMARRE DE PUERTO Y MONOBOYAS
MAPN0512 - ACTIVIDADES AUXILIARES DE MANTENIMIENTO DE MÁQUINAS, EQUIPOS E INSTALACIONES DEL BUQUE;MAPN0512 - ACTIVIDADES AUXILIARES DE MANTENIMIENTO DE MÁQUINAS, EQUIPOS E INSTALACIONES DEL BUQUE;MAPN0512 - ACTIVIDADES AUXILIARES DE MANTENIMIENTO DE MÁQUINAS, EQUIPOS E INSTALACIONES DEL BUQUE
MAPU0209 - ACTIVIDADES DE ENGORDE DE ESPECIES ACUÍCOLAS;MAPU0209 - ACTIVIDADES DE ENGORDE DE ESPECIES ACUÍCOLAS;MAPU0209 - ACTIVIDADES DE ENGORDE DE ESPECIES ACUÍCOLAS
MAPU0309 - ACTIVIDADES DE CULTIVO DE PLANCTON Y CRÍA DE ESPECIES ACUÍCOLAS;MAPU0309 - ACTIVIDADES DE CULTIVO DE PLANCTON Y CRÍA DE ESPECIES ACUÍCOLAS;MAPU0309 - ACTIVIDADES DE CULTIVO DE PLANCTON Y CRÍA DE ESPECIES ACUÍCOLAS
QUIE0308 - OPERACIONES AUXILIARES Y DE ALMACÉN EN INDUSTRIAS Y LABORATORIOS QUÍMICOS;QUIE0308 - OPERACIONES AUXILIARES Y DE ALMACÉN EN INDUSTRIAS Y LABORATORIOS QUÍMICOS;QUIE0308 - OPERACIONES AUXILIARES Y DE ALMACÉN EN INDUSTRIAS Y LABORATORIOS QUÍMICOS
SEAG0209 - LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES;SEAG0209 - LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES;SEAG0209 - LIMPIEZA EN ESPACIOS ABIERTOS E INSTALACIONES INDUSTRIALES
SSCI0109 - EMPLEO DOMÉSTICO;SSCI0109 - EMPLEO DOMÉSTICO;SSCI0109 - EMPLEO DOMÉSTICO
SSCI0212 - ACTIVIDADES FUNERARIAS Y DE MANTENIMIENTO EN CEMENTERIOS;SSCI0212 - ACTIVIDADES FUNERARIAS Y DE MANTENIMIENTO EN CEMENTERIOS;SSCI0212 - ACTIVIDADES FUNERARIAS Y DE MANTENIMIENTO EN CEMENTERIOS
SSCM0108 - LIMPIEZA DE SUPERFICIES Y MOBILIARIO EN EDIFICIOS Y LOCALES;SSCM0108 - LIMPIEZA DE SUPERFICIES Y MOBILIARIO EN EDIFICIOS Y LOCALES;SSCM0108 - LIMPIEZA DE SUPERFICIES Y MOBILIARIO EN EDIFICIOS Y LOCALES
TCPC0109 - REPARACIÓN DE CALZADO Y MARROQUINERÍA;TCPC0109 - REPARACIÓN DE CALZADO Y MARROQUINERÍA;TCPC0109 - REPARACIÓN DE CALZADO Y MARROQUINERÍA
TCPF0109 - ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS EN TEXTIL Y PIEL;TCPF0109 - ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS EN TEXTIL Y PIEL;TCPF0109 - ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS EN TEXTIL Y PIEL
TCPF0110 - OPERACIONES AUXILIARES DE GUARNICIONERÍA;TCPF0110 - OPERACIONES AUXILIARES DE GUARNICIONERÍA;TCPF0110 - OPERACIONES AUXILIARES DE GUARNICIONERÍA
TCPF0111 - OPERACIONES AUXILIARES DE CURTIDOS;TCPF0111 - OPERACIONES AUXILIARES DE CURTIDOS;TCPF0111 - OPERACIONES AUXILIARES DE CURTIDOS
TCPF0209 - OPERACIONES AUXILIARES DE TAPIZADO DE MOBILIARIO Y MURAL;TCPF0209 - OPERACIONES AUXILIARES DE TAPIZADO DE MOBILIARIO Y MURAL;TCPF0209 - OPERACIONES AUXILIARES DE TAPIZADO DE MOBILIARIO Y MURAL
TCPF0309 - CORTINAJE Y COMPLEMENTOS DE DECORACIÓN;TCPF0309 - CORTINAJE Y COMPLEMENTOS DE DECORACIÓN;TCPF0309 - CORTINAJE Y COMPLEMENTOS DE DECORACIÓN
TCPN0109 - OPERACIONES AUXILIARES DE ENNOBLECIMIENTO TEXTIL;TCPN0109 - OPERACIONES AUXILIARES DE ENNOBLECIMIENTO TEXTIL;TCPN0109 - OPERACIONES AUXILIARES DE ENNOBLECIMIENTO TEXTIL
TCPN0312 - OPERACIONES AUXILIARES DE LAVANDERÍA INDUSTRIAL Y DE PROXIMIDAD;TCPN0312 - OPERACIONES AUXILIARES DE LAVANDERÍA INDUSTRIAL Y DE PROXIMIDAD;TCPN0312 - OPERACIONES AUXILIARES DE LAVANDERÍA INDUSTRIAL Y DE PROXIMIDAD
TCPP0110 - OPERACIONES AUXILIARES DE PROCESOS TEXTILES;TCPP0110 - OPERACIONES AUXILIARES DE PROCESOS TEXTILES;TCPP0110 - OPERACIONES AUXILIARES DE PROCESOS TEXTILES
TMVG0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO EN ELECTROMECÁNICA DE VEHÍCULOS;TMVG0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO EN ELECTROMECÁNICA DE VEHÍCULOS;TMVG0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO EN ELECTROMECÁNICA DE VEHÍCULOS
TMVL0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE CARROCERÍAS DE VEHÍCULOS;TMVL0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE CARROCERÍAS DE VEHÍCULOS;TMVL0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE CARROCERÍAS DE VEHÍCULOS
TMVO0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO AERONÁUTICO;TMVO0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO AERONÁUTICO;TMVO0109 - OPERACIONES AUXILIARES DE MANTENIMIENTO AERONÁUTICO
TMVO0112 - OPERACIONES AUXILIARES DE ASISTENCIA A PASAJEROS, EQUIPAJES, MERCANCIAS Y AERONAVES EN AEROPUERT;TMVO0112 - OPERACIONES AUXILIARES DE ASISTENCIA A PASAJEROS, EQUIPAJES, MERCANCIAS Y AERONAVES EN AEROPUERT;TMVO0112 - OPERACIONES AUXILIARES DE ASISTENCIA A PASAJEROS, EQUIPAJES, MERCANCIAS Y AERONAVES EN AEROPUERT
TMVU0110 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE SISTEMAS Y EQUIPOS DE EMBARCACIO DEPORTIVAS Y RECREO;TMVU0110 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE SISTEMAS Y EQUIPOS DE EMBARCACIO DEPORTIVAS Y RECREO;TMVU0110 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE SISTEMAS Y EQUIPOS DE EMBARCACIO DEPORTIVAS Y RECREO
TMVU0210 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE ELEMENTOS ESTRUCTURALES Y DE RECUBRIMIENTO DE EMBARCA;TMVU0210 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE ELEMENTOS ESTRUCTURALES Y DE RECUBRIMIENTO DE EMBARCA;TMVU0210 - OPERACIONES AUXILIARES DE MANTENIMIENTO DE ELEMENTOS ESTRUCTURALES Y DE RECUBRIMIENTO DE EMBARCA
VICF0109 - OPERACIONES BÁSICAS CON EQUIPOS AUTOMÁTICOS EN PLANTA CERÁMICA;VICF0109 - OPERACIONES BÁSICAS CON EQUIPOS AUTOMÁTICOS EN PLANTA CERÁMICA;VICF0109 - OPERACIONES BÁSICAS CON EQUIPOS AUTOMÁTICOS EN PLANTA CERÁMICA
VICF0209 - OPERACIONES DE REPRODUCCIÓN MANUAL O SEMIAUTOMÁTICA DE PRODUCTOS CERÁMICOS;VICF0209 - OPERACIONES DE REPRODUCCIÓN MANUAL O SEMIAUTOMÁTICA DE PRODUCTOS CERÁMICOS;VICF0209 - OPERACIONES DE REPRODUCCIÓN MANUAL O SEMIAUTOMÁTICA DE PRODUCTOS CERÁMICOS
VICI0109 - FABRICACIÓN Y TRANSFORMACIÓN MANUAL Y SEMIAUTOMÁTICA DE PRODUCTOS DE VIDRIO;VICI0109 - FABRICACIÓN Y TRANSFORMACIÓN MANUAL Y SEMIAUTOMÁTICA DE PRODUCTOS DE VIDRIO;VICI0109 - FABRICACIÓN Y TRANSFORMACIÓN MANUAL Y SEMIAUTOMÁTICA DE PRODUCTOS DE VIDRIO
VICI0110 - DECORACIÓN Y MOLDEADO DE VIDRIO;VICI0110 - DECORACIÓN Y MOLDEADO DE VIDRIO;VICI0110 - DECORACIÓN Y MOLDEADO DE VIDRIO
AFDA0109 - GUIA POR ITINERARIOS EN BICICLETA;AFDA0109 - GUIA POR ITINERARIOS EN BICICLETA;AFDA0109 - GUIA POR ITINERARIOS EN BICICLETA
AFDA0112 - GUÍA POR BARRANCOS SECOS O ACUÁTICOS;AFDA0112 - GUÍA POR BARRANCOS SECOS O ACUÁTICOS;AFDA0112 - GUÍA POR BARRANCOS SECOS O ACUÁTICOS
AFDA0209 - GUÍA POR ITINERARIOS ECUESTRES EN EL MEDIO NATURAL;AFDA0209 - GUÍA POR ITINERARIOS ECUESTRES EN EL MEDIO NATURAL;AFDA0209 - GUÍA POR ITINERARIOS ECUESTRES EN EL MEDIO NATURAL
AFDA0212 - GUÍA DE ESPELEOLOGÍA;AFDA0212 - GUÍA DE ESPELEOLOGÍA;AFDA0212 - GUÍA DE ESPELEOLOGÍA
AFDA0611 - GUÍA POR ITINERARIOS DE BAJA Y MEDIA MONTAÑA;AFDA0611 - GUÍA POR ITINERARIOS DE BAJA Y MEDIA MONTAÑA;AFDA0611 - GUÍA POR ITINERARIOS DE BAJA Y MEDIA MONTAÑA
AFDP0109 - SOCORRISMO EN INSTALACIONES ACUÁTICAS;AFDP0109 - SOCORRISMO EN INSTALACIONES ACUÁTICAS;AFDP0109 - SOCORRISMO EN INSTALACIONES ACUÁTICAS
AFDP0111 - BALIZAMIENTO DE PISTAS, SEÑALIZACIÓN Y SOCORRISMO EN ESPACIOS ESQUIABLES;AFDP0111 - BALIZAMIENTO DE PISTAS, SEÑALIZACIÓN Y SOCORRISMO EN ESPACIOS ESQUIABLES;AFDP0111 - BALIZAMIENTO DE PISTAS, SEÑALIZACIÓN Y SOCORRISMO EN ESPACIOS ESQUIABLES
AFDP0209 - SOCORRISMO EN ESPACIOS ACUÁTICOS NATURALES;AFDP0209 - SOCORRISMO EN ESPACIOS ACUÁTICOS NATURALES;AFDP0209 - SOCORRISMO EN ESPACIOS ACUÁTICOS NATURALES
ADGD0308 - ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;ADGD0308 - ACTIVIDADES DE GESTIÓN ADMINISTRATIVA;ADGD0308 - ACTIVIDADES DE GESTIÓN ADMINISTRATIVA
ADGG0208 - ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE;ADGG0208 - ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE;ADGG0208 - ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE
AGAC0108 - CULTIVOS HERBÁCEOS;AGAC0108 - CULTIVOS HERBÁCEOS;AGAC0108 - CULTIVOS HERBÁCEOS
AGAF0108 - FRUTICULTURA;AGAF0108 - FRUTICULTURA;AGAF0108 - FRUTICULTURA
AGAG0108 - PRODUCCIÓN AVÍCOLA INTENSIVA;AGAG0108 - PRODUCCIÓN AVÍCOLA INTENSIVA;AGAG0108 - PRODUCCIÓN AVÍCOLA INTENSIVA
AGAG0208 - PRODUCCIÓN CUNÍCULA INTENSIVA;AGAG0208 - PRODUCCIÓN CUNÍCULA INTENSIVA;AGAG0208 - PRODUCCIÓN CUNÍCULA INTENSIVA
AGAH0108 - HORTICULTURA Y FLORICULTURA;AGAH0108 - HORTICULTURA Y FLORICULTURA;AGAH0108 - HORTICULTURA Y FLORICULTURA
AGAJ0110 - ACTIVIDADES DE FLORISTERIA;AGAJ0110 - ACTIVIDADES DE FLORISTERIA;AGAJ0110 - ACTIVIDADES DE FLORISTERIA
AGAN0108 - GANADERÍA ECOLÓGICA;AGAN0108 - GANADERÍA ECOLÓGICA;AGAN0108 - GANADERÍA ECOLÓGICA
AGAN0109 - CUIDADOS Y MANEJO DEL CABALLO;AGAN0109 - CUIDADOS Y MANEJO DEL CABALLO;AGAN0109 - CUIDADOS Y MANEJO DEL CABALLO
AGAN0110 - DOMA BÁSICA DEL CABALLO;AGAN0110 - DOMA BÁSICA DEL CABALLO;AGAN0110 - DOMA BÁSICA DEL CABALLO
AGAN0111 - CUIDADOS Y MANTENIMIENTO DE ANIMALES UTILIZADOS PARA INVESTIGACIÓN Y OTROS FINES CIENTÍFICOS;AGAN0111 - CUIDADOS Y MANTENIMIENTO DE ANIMALES UTILIZADOS PARA INVESTIGACIÓN Y OTROS FINES CIENTÍFICOS;AGAN0111 - CUIDADOS Y MANTENIMIENTO DE ANIMALES UTILIZADOS PARA INVESTIGACIÓN Y OTROS FINES CIENTÍFICOS
AGAN0211 - APICULTURA;AGAN0211 - APICULTURA;AGAN0211 - APICULTURA
AGAN0312 - CUIDADOS DE ANIMALES SALVAJES, DE ZOOLÓGICOS Y ACUARIOS;AGAN0312 - CUIDADOS DE ANIMALES SALVAJES, DE ZOOLÓGICOS Y ACUARIOS;AGAN0312 - CUIDADOS DE ANIMALES SALVAJES, DE ZOOLÓGICOS Y ACUARIOS
AGAN0411 - PRODUCCIÓN DE ANIMALES CINEGÉTICOS;AGAN0411 - PRODUCCIÓN DE ANIMALES CINEGÉTICOS;AGAN0411 - PRODUCCIÓN DE ANIMALES CINEGÉTICOS
AGAO0208 - INSTALACIÓN Y MANTENIMIENTO DE JARDINES Y ZONAS VERDES;AGAO0208 - INSTALACIÓN Y MANTENIMIENTO DE JARDINES Y ZONAS VERDES;AGAO0208 - INSTALACIÓN Y MANTENIMIENTO DE JARDINES Y ZONAS VERDES
AGAP0108 - PRODUCCIÓN PORCINA DE REPRODUCCIÓN Y CRÍA;AGAP0108 - PRODUCCIÓN PORCINA DE REPRODUCCIÓN Y CRÍA;AGAP0108 - PRODUCCIÓN PORCINA DE REPRODUCCIÓN Y CRÍA
AGAP0208 - PRODUCCIÓN PORCINA DE RECRÍA Y CEBO;AGAP0208 - PRODUCCIÓN PORCINA DE RECRÍA Y CEBO;AGAP0208 - PRODUCCIÓN PORCINA DE RECRÍA Y CEBO
AGAR0108 - APROVECHAMIENTOS FORESTALES;AGAR0108 - APROVECHAMIENTOS FORESTALES;AGAR0108 - APROVECHAMIENTOS FORESTALES
AGAR0111 - MANTENIMIENTO Y MEJORA DEL HÁBITAT CINEGÉTICO-PISCÍCOLA;AGAR0111 - MANTENIMIENTO Y MEJORA DEL HÁBITAT CINEGÉTICO-PISCÍCOLA;AGAR0111 - MANTENIMIENTO Y MEJORA DEL HÁBITAT CINEGÉTICO-PISCÍCOLA
AGAR0208 - REPOBLACIONES FORESTALES Y TRATAMIENTOS SILVÍCOLAS;AGAR0208 - REPOBLACIONES FORESTALES Y TRATAMIENTOS SILVÍCOLAS;AGAR0208 - REPOBLACIONES FORESTALES Y TRATAMIENTOS SILVÍCOLAS
AGAU0108 - AGRICULTURA ECOLÓGICA;AGAU0108 - AGRICULTURA ECOLÓGICA;AGAU0108 - AGRICULTURA ECOLÓGICA
AGAU0110 - PRODUCCIÓN DE SEMILLAS Y PLANTAS EN VIVERO;AGAU0110 - PRODUCCIÓN DE SEMILLAS Y PLANTAS EN VIVERO;AGAU0110 - PRODUCCIÓN DE SEMILLAS Y PLANTAS EN VIVERO
AGAU0111 - MANEJO Y MANTENIMIENTO DE MAQUINARIA AGRÍCOLA;AGAU0111 - MANEJO Y MANTENIMIENTO DE MAQUINARIA AGRÍCOLA;AGAU0111 - MANEJO Y MANTENIMIENTO DE MAQUINARIA AGRÍCOLA
AGAU0112 - PRODUCCIÓN Y RECOLECCIÓN DE SETAS Y TRUFAS;AGAU0112 - PRODUCCIÓN Y RECOLECCIÓN DE SETAS Y TRUFAS;AGAU0112 - PRODUCCIÓN Y RECOLECCIÓN DE SETAS Y TRUFAS
ARGA0110 - GRABADO CALCOGRÁFICO Y XILOGRÁFICO;ARGA0110 - GRABADO CALCOGRÁFICO Y XILOGRÁFICO;ARGA0110 - GRABADO CALCOGRÁFICO Y XILOGRÁFICO
ARGA0111 - LITOGRAFÍA;ARGA0111 - LITOGRAFÍA;ARGA0111 - LITOGRAFÍA
ARGA0311 - SERIGRAFÍA ARTÍSTICA;ARGA0311 - SERIGRAFÍA ARTÍSTICA;ARGA0311 - SERIGRAFÍA ARTÍSTICA
ARGC0109 - GUILLOTINADO Y PLEGADO;ARGC0109 - GUILLOTINADO Y PLEGADO;ARGC0109 - GUILLOTINADO Y PLEGADO
ARGC0110 - OPERACIONES DE ENCUADERNACIÓN INDUSTRIAL EN RÚSTICA Y TAPA DURA;ARGC0110 - OPERACIONES DE ENCUADERNACIÓN INDUSTRIAL EN RÚSTICA Y TAPA DURA;ARGC0110 - OPERACIONES DE ENCUADERNACIÓN INDUSTRIAL EN RÚSTICA Y TAPA DURA
ARGC0209 - OPERACIONES EN TRENES DE COSIDO;ARGC0209 - OPERACIONES EN TRENES DE COSIDO;ARGC0209 - OPERACIONES EN TRENES DE COSIDO
ARGI0109 - IMPRESIÓN EN OFFSET;ARGI0109 - IMPRESIÓN EN OFFSET;ARGI0109 - IMPRESIÓN EN OFFSET
ARGI0110 - IMPRESIÓN EN FLEXOGRAFÍA;ARGI0110 - IMPRESIÓN EN FLEXOGRAFÍA;ARGI0110 - IMPRESIÓN EN FLEXOGRAFÍA
ARGI0209 - IMPRESIÓN DIGITAL;ARGI0209 - IMPRESIÓN DIGITAL;ARGI0209 - IMPRESIÓN DIGITAL
ARGI0210 - IMPRESIÓN EN HUECOGRABADO;ARGI0210 - IMPRESIÓN EN HUECOGRABADO;ARGI0210 - IMPRESIÓN EN HUECOGRABADO
ARGI0310 - IMPRESIÓN EN SERIGRAFÍA Y TAMPOGRAFÍA;ARGI0310 - IMPRESIÓN EN SERIGRAFÍA Y TAMPOGRAFÍA;ARGI0310 - IMPRESIÓN EN SERIGRAFÍA Y TAMPOGRAFÍA
ARGP0110 - TRATAMIENTO Y MAQUETACIÓN DE ELEMENTOS GRÁFICOS EN PREIMPRESIÓN;ARGP0110 - TRATAMIENTO Y MAQUETACIÓN DE ELEMENTOS GRÁFICOS EN PREIMPRESIÓN;ARGP0110 - TRATAMIENTO Y MAQUETACIÓN DE ELEMENTOS GRÁFICOS EN PREIMPRESIÓN
ARGP0210 - IMPOSICIÓN Y OBTENCIÓN DE LA FORMA IMPRESORA;ARGP0210 - IMPOSICIÓN Y OBTENCIÓN DE LA FORMA IMPRESORA;ARGP0210 - IMPOSICIÓN Y OBTENCIÓN DE LA FORMA IMPRESORA
ARGT0109 - TROQUELADO;ARGT0109 - TROQUELADO;ARGT0109 - TROQUELADO
ARGT0311 - ELABORACIÓN DE CARTÓN ONDULADO;ARGT0311 - ELABORACIÓN DE CARTÓN ONDULADO;ARGT0311 - ELABORACIÓN DE CARTÓN ONDULADO
ARGT0411 - FABRICACIÓN DE COMPLEJOS, ENVASES, EMBALAJES Y OTROS ARTÍCULOS DE PAPEL Y CARTÓN;ARGT0411 - FABRICACIÓN DE COMPLEJOS, ENVASES, EMBALAJES Y OTROS ARTÍCULOS DE PAPEL Y CARTÓN;ARGT0411 - FABRICACIÓN DE COMPLEJOS, ENVASES, EMBALAJES Y OTROS ARTÍCULOS DE PAPEL Y CARTÓN
ARTA0111 - TALLA DE ELEMENTOS DECORATIVOS EN MADERA;ARTA0111 - TALLA DE ELEMENTOS DECORATIVOS EN MADERA;ARTA0111 - TALLA DE ELEMENTOS DECORATIVOS EN MADERA
ARTA0112 - ELABORACIÓN DE OBRAS DE FORJA ARTESANAL;ARTA0112 - ELABORACIÓN DE OBRAS DE FORJA ARTESANAL;ARTA0112 - ELABORACIÓN DE OBRAS DE FORJA ARTESANAL
ARTB0111 - ELABORACIÓN DE ARTÍCULOS DE PLATERÍA;ARTB0111 - ELABORACIÓN DE ARTÍCULOS DE PLATERÍA;ARTB0111 - ELABORACIÓN DE ARTÍCULOS DE PLATERÍA
ARTB0112 - REPOSICIÓN, MONTAJE Y MANTENIMIENTO DE ELEMENTOS DE RELOJERÍA FINA;ARTB0112 - REPOSICIÓN, MONTAJE Y MANTENIMIENTO DE ELEMENTOS DE RELOJERÍA FINA;ARTB0112 - REPOSICIÓN, MONTAJE Y MANTENIMIENTO DE ELEMENTOS DE RELOJERÍA FINA
ARTB0211 - REPARACIÓN DE JOYERÍA;ARTB0211 - REPARACIÓN DE JOYERÍA;ARTB0211 - REPARACIÓN DE JOYERÍA
ARTG0112 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-METAL;ARTG0112 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-METAL;ARTG0112 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-METAL
ARTG0212 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-MADERA;ARTG0212 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-MADERA;ARTG0212 - MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS DE VIENTO-MADERA
ARTN0109 - ELABORACIÓN ARTESANAL DE PRODUCTOS DE VIDRIO EN CALIENTE;ARTN0109 - ELABORACIÓN ARTESANAL DE PRODUCTOS DE VIDRIO EN CALIENTE;ARTN0109 - ELABORACIÓN ARTESANAL DE PRODUCTOS DE VIDRIO EN CALIENTE
ARTN0209 - ALFARERÍA ARTESANAL;ARTN0209 - ALFARERÍA ARTESANAL;ARTN0209 - ALFARERÍA ARTESANAL
ARTN0210 - DECORACIÓN ARTESANAL DE VIDRIO MEDIANTE APLICACIÓN DE COLOR;ARTN0210 - DECORACIÓN ARTESANAL DE VIDRIO MEDIANTE APLICACIÓN DE COLOR;ARTN0210 - DECORACIÓN ARTESANAL DE VIDRIO MEDIANTE APLICACIÓN DE COLOR
ARTN0309 - TRANSFORMACIÓN ARTESANAL DE VIDRIO EN FRÍO;ARTN0309 - TRANSFORMACIÓN ARTESANAL DE VIDRIO EN FRÍO;ARTN0309 - TRANSFORMACIÓN ARTESANAL DE VIDRIO EN FRÍO
COMT0112 - ACTIVIDADES DE GESTIÓN DEL PEQUEÑO COMERCIO;COMT0112 - ACTIVIDADES DE GESTIÓN DEL PEQUEÑO COMERCIO;COMT0112 - ACTIVIDADES DE GESTIÓN DEL PEQUEÑO COMERCIO
COMV0108 - ACTIVIDADES DE VENTA;COMV0108 - ACTIVIDADES DE VENTA;COMV0108 - ACTIVIDADES DE VENTA
EOCB0108 - FABRICAS DE ALBAÑILERÍA;EOCB0108 - FABRICAS DE ALBAÑILERÍA;EOCB0108 - FABRICAS DE ALBAÑILERÍA
EOCB0110 - PINTURA DECORATIVA EN CONSTRUCCIÓN;EOCB0110 - PINTURA DECORATIVA EN CONSTRUCCIÓN;EOCB0110 - PINTURA DECORATIVA EN CONSTRUCCIÓN
EOCB0111 - CUBIERTAS INCLINADAS;EOCB0111 - CUBIERTAS INCLINADAS;EOCB0111 - CUBIERTAS INCLINADAS
EOCB0210 - REVESTIMIENTOS CON PASTAS Y MORTEROS EN CONSTRUCCIÓN;EOCB0210 - REVESTIMIENTOS CON PASTAS Y MORTEROS EN CONSTRUCCIÓN;EOCB0210 - REVESTIMIENTOS CON PASTAS Y MORTEROS EN CONSTRUCCIÓN
EOCB0211 - PAVIMENTOS Y ALBAÑILERÍA DE URBANIZACIÓN;EOCB0211 - PAVIMENTOS Y ALBAÑILERÍA DE URBANIZACIÓN;EOCB0211 - PAVIMENTOS Y ALBAÑILERÍA DE URBANIZACIÓN
EOCB0310 - REVESTIMIENTOS CON PIEZAS RÍGIDAS POR ADHERENCIA EN CONSTRUCCIÓN;EOCB0310 - REVESTIMIENTOS CON PIEZAS RÍGIDAS POR ADHERENCIA EN CONSTRUCCIÓN;EOCB0310 - REVESTIMIENTOS CON PIEZAS RÍGIDAS POR ADHERENCIA EN CONSTRUCCIÓN
EOCB0311 - PINTURA INDUSTRIAL EN CONSTRUCCIÓN;EOCB0311 - PINTURA INDUSTRIAL EN CONSTRUCCIÓN;EOCB0311 - PINTURA INDUSTRIAL EN CONSTRUCCIÓN
EOCE0111 - ARMADURAS PASIVAS PARA HORMIGÓN;EOCE0111 - ARMADURAS PASIVAS PARA HORMIGÓN;EOCE0111 - ARMADURAS PASIVAS PARA HORMIGÓN
EOCE0211 - ENCOFRADOS;EOCE0211 - ENCOFRADOS;EOCE0211 - ENCOFRADOS
EOCJ0109 - MONTAJE DE ANDAMIOS TUBULARES;EOCJ0109 - MONTAJE DE ANDAMIOS TUBULARES;EOCJ0109 - MONTAJE DE ANDAMIOS TUBULARES
EOCJ0110 - INSTALACIÓN DE PLACA DE YESO LAMINADO Y FALSOS TECHOS;EOCJ0110 - INSTALACIÓN DE PLACA DE YESO LAMINADO Y FALSOS TECHOS;EOCJ0110 - INSTALACIÓN DE PLACA DE YESO LAMINADO Y FALSOS TECHOS
EOCJ0111 - IMPERMEABILIZACIÓN MEDIANTE MEMBRANAS FORMADAS CON LÁMINAS;EOCJ0111 - IMPERMEABILIZACIÓN MEDIANTE MEMBRANAS FORMADAS CON LÁMINAS;EOCJ0111 - IMPERMEABILIZACIÓN MEDIANTE MEMBRANAS FORMADAS CON LÁMINAS
EOCJ0211 - INSTALACIÓN DE SISTEMAS TÉCNICOS DE PAVIMENTOS, EMPANELADOS Y MAMPARAS;EOCJ0211 - INSTALACIÓN DE SISTEMAS TÉCNICOS DE PAVIMENTOS, EMPANELADOS Y MAMPARAS;EOCJ0211 - INSTALACIÓN DE SISTEMAS TÉCNICOS DE PAVIMENTOS, EMPANELADOS Y MAMPARAS
